"DISTRITO","UNIDADE","TRIMESTRE","VALOR"
"Centro","CS SACO DOS LIMÕES","2015 Q2",281
"Norte","CS SACO GRANDE","2015 Q2",234
"Norte","CS SANTINHO","2015 Q2",434
"Norte","CS SANTO ANTONIO LISBOA","2015 Q2",154
"Continente","CS SAPE","2015 Q2",15
"Sul","CS TAPERA","2015 Q2",437
"Centro","CS TRINDADE","2015 Q2",185
"Norte","CS VARGEM GRANDE","2015 Q2",275
"Norte","CS VARGEM PEQUENA","2015 Q2",117
"Continente","CS VILA APARECIDA","2015 Q2",14
"Continente","CS ABRAÃO","2015 Q3",30
"Centro","CS AGRONÔMICA","2015 Q3",198
"Sul","CS ALTO RIBEIRÃO","2015 Q3",341
"Sul","CS ARMAÇÃO","2015 Q3",268
"Continente","CS BALNEÁRIO","2015 Q3",13
"Norte","CS BARRA DA LAGOA","2015 Q3",156
"Norte","CS CACHOEIRA BOM JESUS","2015 Q3",620
"Sul","CS CAIEIRA BARRA DO SUL","2015 Q3",133
"Sul","CS CAMPECHE","2015 Q3",584
"Norte","CS CANASVIEIRAS","2015 Q3",1738
"Sul","CS CANTO DA LAGOA","2015 Q3",86
"Continente","CS CAPOEIRAS","2015 Q3",27
"Sul","CS CARIANOS","2015 Q3",233
"Centro","CS CENTRO","2015 Q3",133
"Continente","CS COLONINHA","2015 Q3",28
"Continente","CS COQUEIROS","2015 Q3",30
"Centro","CS CÓRREGO GRANDE","2015 Q3",74
"Sul","CS COSTA DA LAGOA","2015 Q3",35
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2015 Q3",588
"Continente","CS ESTREITO","2015 Q3",31
"Sul","CS FAZENDA DO RIO TAVARES","2015 Q3",600
"Norte","CS INGLESES","2015 Q3",1760
"Centro","CS ITACORUBI","2015 Q3",118
"Continente","CS JARDIM ATLÂNTICO","2015 Q3",9
"Centro","CS JOÃO PAULO","2015 Q3",33
"Norte","CS JURERE","2015 Q3",268
"Sul","CS LAGOA DA CONCEIÇÃO","2015 Q3",196
"Continente","CS MONTE CRISTO","2015 Q3",37
"Centro","CS MONTE SERRAT","2015 Q3",105
"Sul","CS MORRO DAS PEDRAS","2015 Q3",498
"Continente","CS NOVO CONTINENTE","2015 Q3",29
"Centro","CS PANTANAL","2015 Q3",100
"Sul","CS PANTANO DO SUL","2015 Q3",129
"Norte","CS PONTA DAS CANAS","2015 Q3",286
"Centro","CS PRAINHA","2015 Q3",190
"Norte","CS RATONES","2015 Q3",219
"Sul","CS RIBEIRÃO DA ILHA","2015 Q3",107
"Sul","CS RIO TAVARES","2015 Q3",351
"Norte","CS RIO VERMELHO","2015 Q3",1105
"Centro","CS SACO DOS LIMÕES","2015 Q3",418
"Norte","CS SACO GRANDE","2015 Q3",285
"Norte","CS SANTINHO","2015 Q3",511
"Norte","CS SANTO ANTONIO LISBOA","2015 Q3",164
"Continente","CS SAPE","2015 Q3",21
"Sul","CS TAPERA","2015 Q3",521
"Centro","CS TRINDADE","2015 Q3",197
"Norte","CS VARGEM GRANDE","2015 Q3",335
"Norte","CS VARGEM PEQUENA","2015 Q3",134
"Continente","CS VILA APARECIDA","2015 Q3",16
"Continente","CS ABRAÃO","2015 Q4",33
"Centro","CS AGRONÔMICA","2015 Q4",170
"Sul","CS ALTO RIBEIRÃO","2015 Q4",304
"Sul","CS ARMAÇÃO","2015 Q4",258
"Continente","CS BALNEÁRIO","2015 Q4",15
"Norte","CS BARRA DA LAGOA","2015 Q4",150
"Norte","CS CACHOEIRA BOM JESUS","2015 Q4",522
"Sul","CS CAIEIRA BARRA DO SUL","2015 Q4",95
"Sul","CS CAMPECHE","2015 Q4",588
"Norte","CS CANASVIEIRAS","2015 Q4",1392
"Sul","CS CANTO DA LAGOA","2015 Q4",73
"Continente","CS CAPOEIRAS","2015 Q4",32
"Sul","CS CARIANOS","2015 Q4",240
"Centro","CS CENTRO","2015 Q4",101
"Continente","CS COLONINHA","2015 Q4",34
"Continente","CS COQUEIROS","2015 Q4",38
"Centro","CS CÓRREGO GRANDE","2015 Q4",51
"Sul","CS COSTA DA LAGOA","2015 Q4",13
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2015 Q4",453
"Continente","CS ESTREITO","2015 Q4",20
"Sul","CS FAZENDA DO RIO TAVARES","2015 Q4",544
"Norte","CS INGLESES","2015 Q4",1629
"Centro","CS ITACORUBI","2015 Q4",140
"Continente","CS JARDIM ATLÂNTICO","2015 Q4",14
"Centro","CS JOÃO PAULO","2015 Q4",40
"Norte","CS JURERE","2015 Q4",228
"Sul","CS LAGOA DA CONCEIÇÃO","2015 Q4",192
"Continente","CS MONTE CRISTO","2015 Q4",44
"Centro","CS MONTE SERRAT","2015 Q4",95
"Sul","CS MORRO DAS PEDRAS","2015 Q4",467
"Continente","CS NOVO CONTINENTE","2015 Q4",21
"Centro","CS PANTANAL","2015 Q4",76
"Sul","CS PANTANO DO SUL","2015 Q4",108
"Norte","CS PONTA DAS CANAS","2015 Q4",265
"Centro","CS PRAINHA","2015 Q4",132
"Norte","CS RATONES","2015 Q4",189
"Sul","CS RIBEIRÃO DA ILHA","2015 Q4",125
"Sul","CS RIO TAVARES","2015 Q4",434
"Norte","CS RIO VERMELHO","2015 Q4",861
"Centro","CS SACO DOS LIMÕES","2015 Q4",318
"Norte","CS SACO GRANDE","2015 Q4",234
"Norte","CS SANTINHO","2015 Q4",470
"Norte","CS SANTO ANTONIO LISBOA","2015 Q4",161
"Continente","CS SAPE","2015 Q4",11
"Sul","CS TAPERA","2015 Q4",554
"Centro","CS TRINDADE","2015 Q4",210
"Norte","CS VARGEM GRANDE","2015 Q4",311
"Norte","CS VARGEM PEQUENA","2015 Q4",120
"Continente","CS VILA APARECIDA","2015 Q4",22
"Continente","CS ABRAÃO","2016 Q1",19
"Centro","CS AGRONÔMICA","2016 Q1",152
"Sul","CS ALTO RIBEIRÃO","2016 Q1",221
"Sul","CS ARMAÇÃO","2016 Q1",185
"Continente","CS BALNEÁRIO","2016 Q1",17
"Norte","CS BARRA DA LAGOA","2016 Q1",139
"Norte","CS CACHOEIRA BOM JESUS","2016 Q1",352
"Sul","CS CAIEIRA BARRA DO SUL","2016 Q1",68
"Sul","CS CAMPECHE","2016 Q1",498
"Norte","CS CANASVIEIRAS","2016 Q1",1219
"Sul","CS CANTO DA LAGOA","2016 Q1",66
"Continente","CS CAPOEIRAS","2016 Q1",19
"Sul","CS CARIANOS","2016 Q1",160
"Centro","CS CENTRO","2016 Q1",90
"Continente","CS COLONINHA","2016 Q1",35
"Continente","CS COQUEIROS","2016 Q1",29
"Centro","CS CÓRREGO GRANDE","2016 Q1",43
"Sul","CS COSTA DA LAGOA","2016 Q1",19
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2016 Q1",393
"Continente","CS ESTREITO","2016 Q1",26
"Sul","CS FAZENDA DO RIO TAVARES","2016 Q1",483
"Norte","CS INGLESES","2016 Q1",1229
"Centro","CS ITACORUBI","2016 Q1",101
"Continente","CS JARDIM ATLÂNTICO","2016 Q1",14
"Centro","CS JOÃO PAULO","2016 Q1",21
"Norte","CS JURERE","2016 Q1",146
"Sul","CS LAGOA DA CONCEIÇÃO","2016 Q1",175
"Continente","CS MONTE CRISTO","2016 Q1",35
"Centro","CS MONTE SERRAT","2016 Q1",68
"Sul","CS MORRO DAS PEDRAS","2016 Q1",347
"Continente","CS NOVO CONTINENTE","2016 Q1",21
"Centro","CS PANTANAL","2016 Q1",72
"Sul","CS PANTANO DO SUL","2016 Q1",96
"Norte","CS PONTA DAS CANAS","2016 Q1",172
"Centro","CS PRAINHA","2016 Q1",135
"Norte","CS RATONES","2016 Q1",110
"Sul","CS RIBEIRÃO DA ILHA","2016 Q1",113
"Sul","CS RIO TAVARES","2016 Q1",349
"Norte","CS RIO VERMELHO","2016 Q1",605
"Centro","CS SACO DOS LIMÕES","2016 Q1",287
"Norte","CS SACO GRANDE","2016 Q1",213
"Norte","CS SANTINHO","2016 Q1",317
