"DISTRITO","UNIDADE","AREA","TRIMESTRE","VALOR"
"Norte","CS PONTA DAS CANAS",370,"2017 Q4",41
"Norte","CS PONTA DAS CANAS",371,"2017 Q4",32
"Norte","CS CANASVIEIRAS",380,"2017 Q4",28
"Norte","CS CANASVIEIRAS",381,"2017 Q4",36
"Norte","CS CANASVIEIRAS",382,"2017 Q4",38
"Norte","CS CANASVIEIRAS",383,"2017 Q4",29
"Norte","CS CANASVIEIRAS",384,"2017 Q4",31
"Norte","CS JURERE",390,"2017 Q4",96
"Continente","CS MONTE CRISTO",40,"2017 Q4",13
"Norte","CS CACHOEIRA BOM JESUS",400,"2017 Q4",28
"Norte","CS CACHOEIRA BOM JESUS",401,"2017 Q4",29
"Continente","CS MONTE CRISTO",41,"2017 Q4",26
"Norte","CS VARGEM GRANDE",410,"2017 Q4",12
"Continente","CS MONTE CRISTO",42,"2017 Q4",11
"Norte","CS RIO VERMELHO",420,"2017 Q4",58
"Norte","CS RIO VERMELHO",421,"2017 Q4",55
"Norte","CS RIO VERMELHO",422,"2017 Q4",44
"Norte","CS RIO VERMELHO",423,"2017 Q4",46
"Norte","CS RIO VERMELHO",424,"2017 Q4",33
"Continente","CS MONTE CRISTO",43,"2017 Q4",12
"Norte","CS INGLESES",431,"2017 Q4",39
"Norte","CS INGLESES",432,"2017 Q4",34
"Norte","CS INGLESES",433,"2017 Q4",30
"Norte","CS INGLESES",434,"2017 Q4",46
"Norte","CS INGLESES",435,"2017 Q4",54
"Norte","CS INGLESES",436,"2017 Q4",31
"Norte","CS INGLESES",437,"2017 Q4",16
"Norte","CS INGLESES",438,"2017 Q4",7
"Continente","CS MONTE CRISTO",44,"2017 Q4",19
"Norte","CS BARRA DA LAGOA",440,"2017 Q4",36
"Norte","CS BARRA DA LAGOA",441,"2017 Q4",32
"Norte","CS BARRA DA LAGOA",442,"2017 Q4",24
"Continente","CS MONTE CRISTO",45,"2017 Q4",12
"Sul","CS CANTO DA LAGOA",450,"2017 Q4",22
"Continente","CS MONTE CRISTO",46,"2017 Q4",8
"Sul","CS COSTA DA LAGOA",460,"2017 Q4",1
"Sul","CS LAGOA DA CONCEIÇÃO",470,"2017 Q4",17
"Sul","CS LAGOA DA CONCEIÇÃO",471,"2017 Q4",14
"Sul","CS LAGOA DA CONCEIÇÃO",472,"2017 Q4",7
"Continente","CS ABRAÃO",570,"2017 Q4",13
"Continente","CS ABRAÃO",571,"2017 Q4",44
"Continente","CS ABRAÃO",572,"2017 Q4",20
"Continente","CS CAPOEIRAS",60,"2017 Q4",24
"Continente","CS COQUEIROS",600,"2017 Q4",38
"Continente","CS COQUEIROS",601,"2017 Q4",45
