"DISTRITO","UNIDADE","TRIMESTRE","VALOR"
"Norte","CS SANTINHO","2016 Q4",123
"Norte","CS SANTO ANTONIO LISBOA","2016 Q4",101
"Continente","CS SAPE","2016 Q4",28
"Sul","CS TAPERA","2016 Q4",141
"Centro","CS TRINDADE","2016 Q4",154
"Norte","CS VARGEM GRANDE","2016 Q4",6
"Norte","CS VARGEM PEQUENA","2016 Q4",25
"Continente","CS VILA APARECIDA","2016 Q4",49
"Continente","CS ABRAÃO","2017 Q1",11
"Centro","CS AGRONÔMICA","2017 Q1",214
"Sul","CS ALTO RIBEIRÃO","2017 Q1",58
"Sul","CS ARMAÇÃO","2017 Q1",86
"Continente","CS BALNEÁRIO","2017 Q1",76
"Norte","CS BARRA DA LAGOA","2017 Q1",98
"Norte","CS CACHOEIRA BOM JESUS","2017 Q1",79
"Sul","CS CAIEIRA BARRA DO SUL","2017 Q1",5
"Sul","CS CAMPECHE","2017 Q1",41
"Norte","CS CANASVIEIRAS","2017 Q1",54
"Sul","CS CANTO DA LAGOA","2017 Q1",9
"Continente","CS CAPOEIRAS","2017 Q1",87
"Sul","CS CARIANOS","2017 Q1",126
"Centro","CS CENTRO","2017 Q1",146
"Continente","CS COLONINHA","2017 Q1",154
"Continente","CS COQUEIROS","2017 Q1",104
"Centro","CS CÓRREGO GRANDE","2017 Q1",87
"Sul","CS COSTA DA LAGOA","2017 Q1",6
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2017 Q1",182
"Continente","CS ESTREITO","2017 Q1",200
"Sul","CS FAZENDA DO RIO TAVARES","2017 Q1",20
"Norte","CS INGLESES","2017 Q1",256
"Centro","CS ITACORUBI","2017 Q1",227
"Continente","CS JARDIM ATLÂNTICO","2017 Q1",46
"Centro","CS JOÃO PAULO","2017 Q1",32
"Norte","CS JURERE","2017 Q1",46
"Sul","CS LAGOA DA CONCEIÇÃO","2017 Q1",40
"Continente","CS MONTE CRISTO","2017 Q1",26
"Centro","CS MONTE SERRAT","2017 Q1",32
"Sul","CS MORRO DAS PEDRAS","2017 Q1",121
"Continente","CS NOVO CONTINENTE","2017 Q1",75
"Centro","CS PANTANAL","2017 Q1",39
"Sul","CS PANTANO DO SUL","2017 Q1",79
"Norte","CS PONTA DAS CANAS","2017 Q1",42
"Centro","CS PRAINHA","2017 Q1",55
"Norte","CS RATONES","2017 Q1",81
"Sul","CS RIBEIRÃO DA ILHA","2017 Q1",59
"Sul","CS RIO TAVARES","2017 Q1",6
"Norte","CS RIO VERMELHO","2017 Q1",241
"Centro","CS SACO DOS LIMÕES","2017 Q1",184
"Norte","CS SACO GRANDE","2017 Q1",191
"Norte","CS SANTINHO","2017 Q1",107
"Norte","CS SANTO ANTONIO LISBOA","2017 Q1",91
"Continente","CS SAPE","2017 Q1",19
"Sul","CS TAPERA","2017 Q1",22
"Centro","CS TRINDADE","2017 Q1",32
"Norte","CS VARGEM GRANDE","2017 Q1",3
"Norte","CS VARGEM PEQUENA","2017 Q1",82
"Continente","CS VILA APARECIDA","2017 Q1",76
"Continente","CS ABRAÃO","2017 Q2",78
"Centro","CS AGRONÔMICA","2017 Q2",436
"Sul","CS ALTO RIBEIRÃO","2017 Q2",106
