"DISTRITO","UNIDADE","TRIMESTRE","TIPO","VALOR"
"Norte","CS RATONES","2017 Q2","PERCENTUAL_GEST_ODONTO",50
"Sul","CS RIBEIRÃO DA ILHA","2017 Q2","PERCENTUAL_GEST_ODONTO",50
"Sul","CS RIO TAVARES","2017 Q2","PERCENTUAL_GEST_ODONTO",25.8064516129032
"Norte","CS RIO VERMELHO","2017 Q2","PERCENTUAL_GEST_ODONTO",21.6216216216216
"Centro","CS SACO DOS LIMÕES","2017 Q2","PERCENTUAL_GEST_ODONTO",17.1428571428571
"Norte","CS SACO GRANDE","2017 Q2","PERCENTUAL_GEST_ODONTO",10.6060606060606
"Norte","CS SANTINHO","2017 Q2","PERCENTUAL_GEST_ODONTO",40.7407407407407
"Norte","CS SANTO ANTONIO LISBOA","2017 Q2","PERCENTUAL_GEST_ODONTO",20
"Continente","CS SAPE","2017 Q2","PERCENTUAL_GEST_ODONTO",22.2222222222222
"Sul","CS TAPERA","2017 Q2","PERCENTUAL_GEST_ODONTO",15.5555555555556
"Centro","CS TRINDADE","2017 Q2","PERCENTUAL_GEST_ODONTO",22.6415094339623
"Norte","CS VARGEM GRANDE","2017 Q2","PERCENTUAL_GEST_ODONTO",36.3636363636364
"Norte","CS VARGEM PEQUENA","2017 Q2","PERCENTUAL_GEST_ODONTO",16.6666666666667
"Continente","CS VILA APARECIDA","2017 Q2","PERCENTUAL_GEST_ODONTO",36.3636363636364
"Continente","CS ABRAÃO","2017 Q3","PERCENTUAL_GEST_ODONTO",0
"Centro","CS AGRONÔMICA","2017 Q3","PERCENTUAL_GEST_ODONTO",19.6078431372549
"Sul","CS ALTO RIBEIRÃO","2017 Q3","PERCENTUAL_GEST_ODONTO",64.2857142857143
"Sul","CS ARMAÇÃO","2017 Q3","PERCENTUAL_GEST_ODONTO",50
"Continente","CS BALNEÁRIO","2017 Q3","PERCENTUAL_GEST_ODONTO",50
"Norte","CS BARRA DA LAGOA","2017 Q3","PERCENTUAL_GEST_ODONTO",43.75
"Norte","CS CACHOEIRA BOM JESUS","2017 Q3","PERCENTUAL_GEST_ODONTO",16.6666666666667
"Sul","CS CAIEIRA BARRA DO SUL","2017 Q3","PERCENTUAL_GEST_ODONTO",0
"Sul","CS CAMPECHE","2017 Q3","PERCENTUAL_GEST_ODONTO",46.1538461538462
"Norte","CS CANASVIEIRAS","2017 Q3","PERCENTUAL_GEST_ODONTO",22.0588235294118
"Sul","CS CANTO DA LAGOA","2017 Q3","PERCENTUAL_GEST_ODONTO",0
"Continente","CS CAPOEIRAS","2017 Q3","PERCENTUAL_GEST_ODONTO",65
"Sul","CS CARIANOS","2017 Q3","PERCENTUAL_GEST_ODONTO",30.7692307692308
"Centro","CS CENTRO","2017 Q3","PERCENTUAL_GEST_ODONTO",12.5
"Continente","CS COLONINHA","2017 Q3","PERCENTUAL_GEST_ODONTO",21.4285714285714
"Continente","CS COQUEIROS","2017 Q3","PERCENTUAL_GEST_ODONTO",50
"Centro","CS CÓRREGO GRANDE","2017 Q3","PERCENTUAL_GEST_ODONTO",46.1538461538462
"Sul","CS COSTA DA LAGOA","2017 Q3","PERCENTUAL_GEST_ODONTO",0
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2017 Q3","PERCENTUAL_GEST_ODONTO",20
"Continente","CS ESTREITO","2017 Q3","PERCENTUAL_GEST_ODONTO",28.5714285714286
"Sul","CS FAZENDA DO RIO TAVARES","2017 Q3","PERCENTUAL_GEST_ODONTO",38.8888888888889
